name,prompt,negative_prompt
超真人,"ultra-detailed, ultra-detailed, finely detail, 8K, HDR, highres, absurdres:1.2, Kodak portra 400, film grain, (realistic:1.5),ultra-detailed,best quality, masterpiece, solo, (extremely detailed eyes and face),baby face, an extremely delicate and beautiful, beautiful detailed eyes, 8k wallpaper, incredibly absurdres, ((simple background)), solo, brown hair, long hair, (brown eyes), smirk,expressions, beautiful detailed eyes,","nsfw, paintings, sketches, (out of frame),((green t-shirt))green clothing,lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, (worst quality:2), (low quality:2), (normal quality:2), artifacts, signature, watermark, username, blurry, missing arms, long neck, humpbacked, bad feet, nsfw, malformed limbs, poorly drawn hands, mutilated, fused fingers, bad face, bad anatomy, (long body), missing arms, missing limb,logo,cherry blossom, plum blossom"
修复手,"nice hands, perfect hands, <lora:GoodHands-beta2:1.25>","(extra fingers, deformed hands, polydactyl:1.5)"
